north_american_product_classification_system_napcs,principal_trading_partners,geo,year_month,import,export
Aircraft and other transportation equipment and parts [C21],Belgium,Saskatchewan,2020,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Alberta,2017,475,1758
Aircraft and other transportation equipment and parts [C21],Brazil,Alberta,2018,112,6216
Aircraft and other transportation equipment and parts [C21],Brazil,Alberta,2019,66,1511
Aircraft and other transportation equipment and parts [C21],Brazil,Alberta,2020,17746,3329
Aircraft and other transportation equipment and parts [C21],Brazil,British Columbia,2017,1090,497
Aircraft and other transportation equipment and parts [C21],Brazil,British Columbia,2018,1194,1293
Aircraft and other transportation equipment and parts [C21],Brazil,British Columbia,2019,577,678
Aircraft and other transportation equipment and parts [C21],Brazil,British Columbia,2020,775,810
Aircraft and other transportation equipment and parts [C21],Brazil,Canada,2017,224864,86604
Aircraft and other transportation equipment and parts [C21],Brazil,Canada,2018,37636,155784
Aircraft and other transportation equipment and parts [C21],Brazil,Canada,2019,16591,191913
Aircraft and other transportation equipment and parts [C21],Brazil,Canada,2020,31582,272481
Aircraft and other transportation equipment and parts [C21],Brazil,Manitoba,2017,1,0
Aircraft and other transportation equipment and parts [C21],Brazil,Manitoba,2018,1,0
Aircraft and other transportation equipment and parts [C21],Brazil,Manitoba,2019,10,0
Aircraft and other transportation equipment and parts [C21],Brazil,Manitoba,2020,87,0
Aircraft and other transportation equipment and parts [C21],Brazil,New Brunswick,2017,1,0
Aircraft and other transportation equipment and parts [C21],Brazil,New Brunswick,2018,378,0
Aircraft and other transportation equipment and parts [C21],Brazil,New Brunswick,2019,1295,0
Aircraft and other transportation equipment and parts [C21],Brazil,New Brunswick,2020,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Newfoundland and Labrador,2017,0,52
Aircraft and other transportation equipment and parts [C21],Brazil,Newfoundland and Labrador,2018,18,54
Aircraft and other transportation equipment and parts [C21],Brazil,Newfoundland and Labrador,2019,598,32
Aircraft and other transportation equipment and parts [C21],Brazil,Newfoundland and Labrador,2020,942,0
Aircraft and other transportation equipment and parts [C21],Brazil,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nova Scotia,2017,247,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nova Scotia,2018,1180,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nova Scotia,2019,71,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nova Scotia,2020,4,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nunavut,2017,48302,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Ontario,2017,77120,10021
Aircraft and other transportation equipment and parts [C21],Brazil,Ontario,2018,5868,11304
Aircraft and other transportation equipment and parts [C21],Brazil,Ontario,2019,9277,8954
Aircraft and other transportation equipment and parts [C21],Brazil,Ontario,2020,10359,4904
Aircraft and other transportation equipment and parts [C21],Brazil,Prince Edward Island,2017,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Prince Edward Island,2018,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Prince Edward Island,2019,0,13
Aircraft and other transportation equipment and parts [C21],Brazil,Prince Edward Island,2020,0,32
Aircraft and other transportation equipment and parts [C21],Brazil,Quebec,2017,97625,74272
Aircraft and other transportation equipment and parts [C21],Brazil,Quebec,2018,28883,136916
Aircraft and other transportation equipment and parts [C21],Brazil,Quebec,2019,4693,180731
Aircraft and other transportation equipment and parts [C21],Brazil,Quebec,2020,1668,263400
Aircraft and other transportation equipment and parts [C21],Brazil,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Saskatchewan,2019,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Saskatchewan,2020,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Brazil,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],China,Alberta,2017,15694,2897
Aircraft and other transportation equipment and parts [C21],China,Alberta,2018,11725,2755
Aircraft and other transportation equipment and parts [C21],China,Alberta,2019,12950,9731
Aircraft and other transportation equipment and parts [C21],China,Alberta,2020,14116,4738
Aircraft and other transportation equipment and parts [C21],China,British Columbia,2017,89472,1136
Aircraft and other transportation equipment and parts [C21],China,British Columbia,2018,120258,1406
Aircraft and other transportation equipment and parts [C21],China,British Columbia,2019,130532,426
Aircraft and other transportation equipment and parts [C21],China,British Columbia,2020,156419,3264
Aircraft and other transportation equipment and parts [C21],China,Canada,2017,864412,306705
Aircraft and other transportation equipment and parts [C21],China,Canada,2018,914877,324842
Aircraft and other transportation equipment and parts [C21],China,Canada,2019,1155402,216041
Aircraft and other transportation equipment and parts [C21],China,Canada,2020,909472,212809
Aircraft and other transportation equipment and parts [C21],China,Manitoba,2017,25306,332
Aircraft and other transportation equipment and parts [C21],China,Manitoba,2018,37775,435
Aircraft and other transportation equipment and parts [C21],China,Manitoba,2019,48732,348
Aircraft and other transportation equipment and parts [C21],China,Manitoba,2020,58009,355
Aircraft and other transportation equipment and parts [C21],China,New Brunswick,2017,884,0
Aircraft and other transportation equipment and parts [C21],China,New Brunswick,2018,835,5
Aircraft and other transportation equipment and parts [C21],China,New Brunswick,2019,440,0
Aircraft and other transportation equipment and parts [C21],China,New Brunswick,2020,373,0
Aircraft and other transportation equipment and parts [C21],China,Newfoundland and Labrador,2017,0,7
Aircraft and other transportation equipment and parts [C21],China,Newfoundland and Labrador,2018,12135,4
Aircraft and other transportation equipment and parts [C21],China,Newfoundland and Labrador,2019,834,0
Aircraft and other transportation equipment and parts [C21],China,Newfoundland and Labrador,2020,56,0
Aircraft and other transportation equipment and parts [C21],China,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],China,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],China,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],China,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],China,Nova Scotia,2017,2502,355
Aircraft and other transportation equipment and parts [C21],China,Nova Scotia,2018,1792,199
Aircraft and other transportation equipment and parts [C21],China,Nova Scotia,2019,23741,870
Aircraft and other transportation equipment and parts [C21],China,Nova Scotia,2020,2479,414
Aircraft and other transportation equipment and parts [C21],China,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],China,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],China,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],China,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],China,Ontario,2017,212732,13205
Aircraft and other transportation equipment and parts [C21],China,Ontario,2018,262920,19174
Aircraft and other transportation equipment and parts [C21],China,Ontario,2019,335510,23015
Aircraft and other transportation equipment and parts [C21],China,Ontario,2020,308143,14968
Aircraft and other transportation equipment and parts [C21],China,Prince Edward Island,2017,0,0
Aircraft and other transportation equipment and parts [C21],China,Prince Edward Island,2018,0,0
Aircraft and other transportation equipment and parts [C21],China,Prince Edward Island,2019,57,4
Aircraft and other transportation equipment and parts [C21],China,Prince Edward Island,2020,0,0
Aircraft and other transportation equipment and parts [C21],China,Quebec,2017,517125,288774
Aircraft and other transportation equipment and parts [C21],China,Quebec,2018,467111,300871
Aircraft and other transportation equipment and parts [C21],China,Quebec,2019,602258,181644
Aircraft and other transportation equipment and parts [C21],China,Quebec,2020,369673,189074
Aircraft and other transportation equipment and parts [C21],China,Saskatchewan,2017,700,0
Aircraft and other transportation equipment and parts [C21],China,Saskatchewan,2018,328,0
Aircraft and other transportation equipment and parts [C21],China,Saskatchewan,2019,347,0
Aircraft and other transportation equipment and parts [C21],China,Saskatchewan,2020,201,0
Aircraft and other transportation equipment and parts [C21],China,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],China,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],China,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],China,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],France,Alberta,2017,9260,67243
Aircraft and other transportation equipment and parts [C21],France,Alberta,2018,16989,61840
Aircraft and other transportation equipment and parts [C21],France,Alberta,2019,42288,68720
Aircraft and other transportation equipment and parts [C21],France,Alberta,2020,9836,50584
Aircraft and other transportation equipment and parts [C21],France,British Columbia,2017,90562,1935
Aircraft and other transportation equipment and parts [C21],France,British Columbia,2018,161090,2860
Aircraft and other transportation equipment and parts [C21],France,British Columbia,2019,354954,21827
Aircraft and other transportation equipment and parts [C21],France,British Columbia,2020,49217,2883
Aircraft and other transportation equipment and parts [C21],France,Canada,2017,956016,691367
Aircraft and other transportation equipment and parts [C21],France,Canada,2018,1202486,772743
Aircraft and other transportation equipment and parts [C21],France,Canada,2019,2109705,806629
Aircraft and other transportation equipment and parts [C21],France,Canada,2020,1089556,778591
Aircraft and other transportation equipment and parts [C21],France,Manitoba,2017,163067,2251
Aircraft and other transportation equipment and parts [C21],France,Manitoba,2018,152247,1505
Aircraft and other transportation equipment and parts [C21],France,Manitoba,2019,267599,2035
Aircraft and other transportation equipment and parts [C21],France,Manitoba,2020,36431,495
Aircraft and other transportation equipment and parts [C21],France,New Brunswick,2017,713,491
Aircraft and other transportation equipment and parts [C21],France,New Brunswick,2018,23275,0
Aircraft and other transportation equipment and parts [C21],France,New Brunswick,2019,28548,137
Aircraft and other transportation equipment and parts [C21],France,New Brunswick,2020,85,4
Aircraft and other transportation equipment and parts [C21],France,Newfoundland and Labrador,2017,8810,283
Aircraft and other transportation equipment and parts [C21],France,Newfoundland and Labrador,2018,7064,233
